budget_type,city_abc,expense_category,division_board,consultants_name,x2019_expenditure
OPERATING,Agencies and Corporations,Management/R&D,Toronto Community Housing Corporation,PricewaterhouseCoopers LLP,2625
OPERATING,Agencies and Corporations,Management/R&D,Toronto Community Housing Corporation,Sara Luther,5526
OPERATING,Agencies and Corporations,Technical,Toronto Community Housing Corporation,Watershed Technologies Inc,2600
OPERATING,Agencies and Corporations,Technical,Toronto Community Housing Corporation,Watershed Technologies Inc,5900
OPERATING,Agencies and Corporations,Technical,Toronto Community Housing Corporation,Ipsos Limited,20000
OPERATING,Agencies and Corporations,Technical,Toronto Community Housing Corporation,Zerem Electrical Services Ltd.,6775
OPERATING,Agencies and Corporations,Creative Communications,Toronto Police Service,Deloitte LLP,119613
OPERATING,Agencies and Corporations,IT,Toronto Police Service,Gartner Canada,228960
OPERATING,Agencies and Corporations,IT,Toronto Police Service,Teramach Technologies Inc.,41144
OPERATING,Agencies and Corporations,Legal,Toronto Police Service,"Henein, Hutchison L.L.P.",5617
OPERATING,Agencies and Corporations,Legal,Toronto Police Service,"Henein, Hutchison L.L.P.",19338
OPERATING,Agencies and Corporations,Legal,Toronto Police Service,Ceyssens & Bauchman,4070
OPERATING,Agencies and Corporations,Legal,Toronto Police Service,Miller Thomson LLP,3152
OPERATING,Agencies and Corporations,Legal,Toronto Police Service,Patrick Lesage,18032
OPERATING,Agencies and Corporations,Management/R&D,Toronto Police Service,Korn Ferry,391663
OPERATING,Agencies and Corporations,Management/R&D,Toronto Police Service,Edelman P.R. Worldwide Canada Inc.,399751
OPERATING,Agencies and Corporations,Management/R&D,Toronto Police Service,Gallager McDowall Associates,12090
OPERATING,Agencies and Corporations,Management/R&D,Toronto Police Service,Mercer (Canada) Limited,23437
OPERATING,Agencies and Corporations,Management/R&D,Toronto Police Service,Diabsolut Inc.,110167
OPERATING,Agencies and Corporations,Management/R&D,Toronto Police Service,Goodwin Consulting Service Inc,50832
OPERATING,Agencies and Corporations,Management/R&D,Toronto Police Service,Deloitte LLP,20352
OPERATING,Agencies and Corporations,Management/R&D,Toronto Police Service,Mercer (Canada) Limited,69813
OPERATING,Agencies and Corporations,Management/R&D,Toronto Police Service,"Galabuzi, Grace-Edward",13941
OPERATING,Agencies and Corporations,Technical,Toronto Police Service,Michael Cizmar & Associates,234048
OPERATING,Agencies and Corporations,Legal,Toronto Police Services Board,Hicks Morley Hamilton Stewart Storie,65387
OPERATING,Agencies and Corporations,Management/R&D,Toronto Police Services Board,Jen Finan,1018
OPERATING,Agencies and Corporations,Management/R&D,Toronto Police Services Board,Ty Smith,15000
OPERATING,Agencies and Corporations,Creative Communications,Toronto Public Library Board,Trajectory Brands Inc.,50657
OPERATING,Agencies and Corporations,IT,Toronto Public Library Board,BDO Canada LLP,13432
OPERATING,Agencies and Corporations,Management/R&D,Toronto Public Library Board,CYR & Associates Inc,5495
OPERATING,Agencies and Corporations,Management/R&D,Toronto Public Library Board,Met-Scan Canada Ltd.,2900
OPERATING,Agencies and Corporations,Management/R&D,Toronto Public Library Board,Western Management Consultants of Ontario,77846
OPERATING,Agencies and Corporations,Management/R&D,Toronto Public Library Board,Strategic Counsel,32563
OPERATING,Agencies and Corporations,Management/R&D,Toronto Public Library Board,MNP LLP,17572
OPERATING,Agencies and Corporations,Management/R&D,Toronto Public Library Board,NGL Nordicity Group LTD,9464
OPERATING,Agencies and Corporations,Management/R&D,Toronto Transit Commission,KPMG LLP,84461
OPERATING,Agencies and Corporations,Management/R&D,Toronto Transit Commission,CH2M Hill Canada Ltd,1123186
OPERATING,Agencies and Corporations,Management/R&D,Toronto Transit Commission,Stantec Consultants Inc.,282033
OPERATING,Agencies and Corporations,Management/R&D,Toronto Transit Commission,WSP Canada Inc.,101638
OPERATING,Agencies and Corporations,Management/R&D,Toronto Transit Commission,Optimus SBR Inc.,92850
OPERATING,Agencies and Corporations,Management/R&D,Toronto Transit Commission,Optimus SBR Inc.,36681
OPERATING,Agencies and Corporations,Management/R&D,Toronto Transit Commission,Scot Wortley Consulting,10151
OPERATING,Agencies and Corporations,Management/R&D,Toronto Transit Commission,Optimus SBR Inc.,76099
OPERATING,Agencies and Corporations,Management/R&D,Toronto Transit Commission,Akwasi Owusu-Bempah,5164
OPERATING,Agencies and Corporations,Management/R&D,Toronto Transit Commission,Execute Strategy,15842
OPERATING,Agencies and Corporations,Technical,Toronto Transit Commission,WSP Canada Inc.,57977
OPERATING,Agencies and Corporations,Technical,Toronto Transit Commission,Network Rail Consulting (Canada) Inc.,18348
OPERATING,Agencies and Corporations,Technical,Toronto Transit Commission,Optimus SBR Inc.,30258
OPERATING,Agencies and Corporations,Technical,Toronto Transit Commission,30 Forensic,40694
OPERATING,Agencies and Corporations,Creative Communications,Toronto Waterfront Revitalization Corporation,Counsel Public Affairs INC.,80825
OPERATING,Agencies and Corporations,Creative Communications,Toronto Waterfront Revitalization Corporation,Hill and Knowlton Canada,50880
OPERATING,Agencies and Corporations,Creative Communications,Toronto Waterfront Revitalization Corporation,Bespoke Cultural Collective,11488
OPERATING,Agencies and Corporations,IT,Toronto Waterfront Revitalization Corporation,Envision It Inc,13309
OPERATING,Agencies and Corporations,Legal,Toronto Waterfront Revitalization Corporation,Dentons Canada LLP,13719
OPERATING,Agencies and Corporations,Legal,Toronto Waterfront Revitalization Corporation,Bennett Jones LLP,224399
OPERATING,Agencies and Corporations,Legal,Toronto Waterfront Revitalization Corporation,McCarthy Tetrault LLP,8775
OPERATING,Agencies and Corporations,Management/R&D,Toronto Waterfront Revitalization Corporation,Ketchum Canada (2002) Inc.,81993
OPERATING,Agencies and Corporations,Management/R&D,Toronto Waterfront Revitalization Corporation,Global Governance Advisors,4070
OPERATING,Agencies and Corporations,Technical,Toronto Waterfront Revitalization Corporation,MaRS Discovery District,61406
OPERATING,Agencies and Corporations,Technical,Toronto Waterfront Revitalization Corporation,Lura Consulting,14543
OPERATING,Agencies and Corporations,Legal,Toronto Zoo,Miller Thomson LLP,14596
OPERATING,Agencies and Corporations,Legal,Toronto Zoo,Miller Thomson LLP,4923
OPERATING,Agencies and Corporations,Management/R&D,Toronto Zoo,Verita HR Services,10706
OPERATING,Agencies and Corporations,Management/R&D,Toronto Zoo,Zoo Advisors LLC,78115
OPERATING,Agencies and Corporations,Management/R&D,Toronto Zoo,Verita HR Services,10394
CAPITAL,City Manager,Management/R&D,City Clerk's Office,MNP LLP,127017
CAPITAL,Community and Social Services,Management/R&D,Economic Development & Culture,Gladki Planning Associates Inc.,6619
CAPITAL,Corporate Services,Management/R&D,311 Toronto,Deloitte LLP,101760
CAPITAL,Corporate Services,Technical,Corporate Real Estate Management,RPL Architects Inc.,12295
CAPITAL,Corporate Services,Technical,Corporate Real Estate Management,WSP Canada Inc.,69067
CAPITAL,Corporate Services,Technical,Corporate Real Estate Management,Architecture Evoq Inc,62062
CAPITAL,Corporate Services,Technical,Corporate Real Estate Management,Brookfield Financial,27068
CAPITAL,Corporate Services,Technical,Corporate Real Estate Management,Read Jones Christoffersen Ltd.,217600
CAPITAL,Corporate Services,Technical,Corporate Real Estate Management,Soberman Engineering Inc.,4834
CAPITAL,Corporate Services,Technical,Corporate Real Estate Management,WSP Canada Inc.,61268
CAPITAL,Corporate Services,Technical,Corporate Real Estate Management,NORR Ltd,6706
CAPITAL,Corporate Services,Technical,Corporate Real Estate Management,Arencon Inc.,44978
CAPITAL,Corporate Services,Technical,Corporate Real Estate Management,CodeNext Inc.,52296
CAPITAL,Corporate Services,Technical,Corporate Real Estate Management,Innovative Fire Inc.,40378
CAPITAL,Corporate Services,Technical,Corporate Real Estate Management,Morrison Hershfield,60648
CAPITAL,Corporate Services,Technical,Corporate Real Estate Management,CodeNext Inc.,4030
CAPITAL,Corporate Services,Technical,Corporate Real Estate Management,CodeNext Inc.,88850
CAPITAL,Corporate Services,Technical,Corporate Real Estate Management,Innovative Fire Inc.,828
CAPITAL,Corporate Services,Technical,Corporate Real Estate Management,CodeNext Inc.,5129
CAPITAL,Corporate Services,Technical,Corporate Real Estate Management,CodeNext Inc.,2656
CAPITAL,Corporate Services,Technical,Corporate Real Estate Management,Innovative Fire Inc.,840
CAPITAL,Corporate Services,Technical,Corporate Real Estate Management,Innovative Fire Inc.,27918
CAPITAL,Corporate Services,Technical,Corporate Real Estate Management,Innovative Fire Inc.,631
CAPITAL,Corporate Services,Technical,Corporate Real Estate Management,Innovative Fire Inc.,434
CAPITAL,Corporate Services,Technical,Corporate Real Estate Management,Innovative Fire Inc.,2405
CAPITAL,Corporate Services,Technical,Corporate Real Estate Management,Innovative Fire Inc.,6296
CAPITAL,Corporate Services,Technical,Corporate Real Estate Management,Read Jones Christoffersen Ltd.,39941
CAPITAL,Corporate Services,Technical,Corporate Real Estate Management,Innovative Fire Inc.,49684
CAPITAL,Corporate Services,Technical,Corporate Real Estate Management,Codenext Inc.,39297
CAPITAL,Corporate Services,Technical,Corporate Real Estate Management,Innovative Fire Inc.,14038
CAPITAL,Corporate Services,Technical,Corporate Real Estate Management,CodeNext Inc.,8975
CAPITAL,Corporate Services,Technical,Corporate Real Estate Management,CodeNext Inc.,366
CAPITAL,Corporate Services,Technical,Environment & Energy,MCW Custom Energy Solutions Ltd.,33611
CAPITAL,Finance & Treasury Services,Management/R&D,Controller,Accenture Inc.,106848
CAPITAL,Finance & Treasury Services,Technical,"Pension, Payroll & Employee Benefits",Calian Limited,178639
CAPITAL,Infrastructure and Development,Creative Communications,City Planning,Swerhun Inc.,14975
CAPITAL,Infrastructure and Development,Management/R&D,City Planning,SVN Architects & Planners Inc.,46863
CAPITAL,Infrastructure and Development,Management/R&D,City Planning,Dillon Consulting,78013
CAPITAL,Infrastructure and Development,Management/R&D,City Planning,RWDI,11855
CAPITAL,Infrastructure and Development,Technical,City Planning,Perkins & Will,30567
CAPITAL,Infrastructure and Development,Technical,City Planning,Perkins & Will,94008
CAPITAL,Infrastructure and Development,Technical,City Planning,IBI Group Professional Service,15514
CAPITAL,Infrastructure and Development,Technical,City Planning,SVN Architects & Planners Inc.,140961
CAPITAL,Infrastructure and Development,Technical,City Planning,DTAH,19926
CAPITAL,Infrastructure and Development,Technical,City Planning,Stantec Consultants Inc.,11107
CAPITAL,Infrastructure and Development,Technical,City Planning,Stantec Consultants Inc.,24305
CAPITAL,Infrastructure and Development,Technical,City Planning,Archaeological Services Inc.,4107
CAPITAL,Infrastructure and Development,Technical,City Planning,Architecture Evoq Inc,41489
CAPITAL,Infrastructure and Development,Technical,City Planning,John Archer and Associates,130405
CAPITAL,Infrastructure and Development,Technical,City Planning,N. Barry Lyon Consultants Limited,74710
CAPITAL,Infrastructure and Development,Technical,City Planning,Dillon Consulting,57483
CAPITAL,Infrastructure and Development,Technical,City Planning,Hemson Consulting Ltd.,57390
CAPITAL,Infrastructure and Development,Technical,City Planning,Dillon Consulting,150036
CAPITAL,Infrastructure and Development,Technical,City Planning,HDR Corporation,101760
CAPITAL,Infrastructure and Development,Technical,City Planning,Cushman & Wakefield Ltd.,15264
CAPITAL,Infrastructure and Development,Technical,City Planning,Public Work for Urban Design,42804
CAPITAL,Infrastructure and Development,Technical,City Planning,Perkins & Will,42030
CAPITAL,Infrastructure and Development,Management/R&D,Solid Waste Management,Sustainable Global Resources Ltd,540
CAPITAL,Infrastructure and Development,Management/R&D,Solid Waste Management,HDR Corporation,288189
CAPITAL,Infrastructure and Development,Management/R&D,Solid Waste Management,KPMG LLP,96031
CAPITAL,Infrastructure and Development,Management/R&D,Solid Waste Management,Strategy Matters Inc,50740
CAPITAL,Infrastructure and Development,Management/R&D,Solid Waste Management,Strategy Matters Inc,65477
CAPITAL,Infrastructure and Development,Technical,Solid Waste Management,Golder Associates Ltd.,158655
CAPITAL,Infrastructure and Development,Technical,Solid Waste Management,GHD Limited,506579
CAPITAL,Infrastructure and Development,Technical,Solid Waste Management,Deloitte LLP,116600
CAPITAL,Infrastructure and Development,Management/R&D,Toronto Water,Colliers Project Leaders Inc,23334
CAPITAL,Infrastructure and Development,Technical,Toronto Water,E2 Energy Inc,2137
CAPITAL,Infrastructure and Development,Technical,Toronto Water,WSP Canada Inc.,3053
CAPITAL,Infrastructure and Development,Technical,Toronto Water,Ryerson University,49500
CAPITAL,Infrastructure and Development,Technical,Toronto Water,Associated Engineering (ONT) Ltd,6849
CAPITAL,Infrastructure and Development,Technical,Toronto Water,Blue Source Canada ULC,7123
CAPITAL,Infrastructure and Development,Management/R&D,Transit Expansion Office,Aecom Canada Ltd,23883
CAPITAL,Infrastructure and Development,Management/R&D,Transit Expansion Office,Leigh / Fisher Canada Inc.,23557
CAPITAL,Infrastructure and Development,Management/R&D,Transit Expansion Office,Arup Canada Inc.,75227
CAPITAL,Infrastructure and Development,Management/R&D,Transit Expansion Office,HDR Corporation,200637
CAPITAL,Infrastructure and Development,Management/R&D,Transit Expansion Office,Aecom Canada Ltd,83811
CAPITAL,Infrastructure and Development,Management/R&D,Transit Expansion Office,Aecom Canada Ltd,191323
CAPITAL,Infrastructure and Development,Management/R&D,Transit Expansion Office,Leigh / Fisher Canada Inc.,288647
CAPITAL,Infrastructure and Development,Management/R&D,Transit Expansion Office,Urban Strategies Inc.,184962
CAPITAL,Infrastructure and Development,Management/R&D,Transit Expansion Office,Perkins & Will,177253
CAPITAL,Infrastructure and Development,Management/R&D,Transit Expansion Office,Dillon Consulting,81414
CAPITAL,Infrastructure and Development,Management/R&D,Transit Expansion Office,Arup Canada Inc.,83357
CAPITAL,Infrastructure and Development,Technical,Transit Expansion Office,Leigh / Fisher Canada Inc.,74997
CAPITAL,Infrastructure and Development,Technical,Transit Expansion Office,Aecom Canada Ltd,292164
CAPITAL,Infrastructure and Development,Technical,Transit Expansion Office,HDR Corporation,145552
CAPITAL,Infrastructure and Development,Technical,Transit Expansion Office,HDR Corporation,155107
CAPITAL,Infrastructure and Development,Technical,Transit Expansion Office,Perkins & Will,77938
CAPITAL,Infrastructure and Development,Technical,Transit Expansion Office,Arup Canada Inc.,46494
CAPITAL,Infrastructure and Development,Technical,Transit Expansion Office,Conference Board of Canada,26833
CAPITAL,Infrastructure and Development,Creative Communications,Transportation Services,Cycle Toronto,968
CAPITAL,Infrastructure and Development,IT,Transportation Services,Richter Advisory Group Inc.,236051
CAPITAL,Infrastructure and Development,Management/R&D,Transportation Services,Nanos Research Corp,14170
CAPITAL,Infrastructure and Development,Management/R&D,Transportation Services,The Hospital For Sick Children,17908
CAPITAL,Infrastructure and Development,Management/R&D,Transportation Services,University Of Toronto,100000
CAPITAL,Infrastructure and Development,Technical,Transportation Services,HDR Corporation,11849
CAPITAL,Infrastructure and Development,Technical,Transportation Services,IBI Group Professional Service,2929
CAPITAL,Infrastructure and Development,Technical,Transportation Services,Parsons Inc.,143867
CAPITAL,Infrastructure and Development,Technical,Transportation Services,WSP Canada Inc.,32828
CAPITAL,Infrastructure and Development,Technical,Transportation Services,Steer Davies Gleave North America,1123377
CAPITAL,Infrastructure and Development,Technical,Transportation Services,HDR Corporation,10692
CAPITAL,Infrastructure and Development,Technical,Transportation Services,BDO Canada LLP,1908
CAPITAL,Infrastructure and Development,Technical,Transportation Services,IBI Group Professional Service,8209
CAPITAL,Infrastructure and Development,Technical,Transportation Services,WSP Canada Inc.,46738
CAPITAL,Infrastructure and Development,Technical,Transportation Services,LEA Consulting Ltd,90403
CAPITAL,Infrastructure and Development,Technical,Transportation Services,LEA Consulting Ltd,134188
CAPITAL,Infrastructure and Development,Technical,Transportation Services,LEA Consulting Ltd,56680
CAPITAL,Infrastructure and Development,Technical,Transportation Services,Parsons Inc.,217271
CAPITAL,Infrastructure and Development,Technical,Transportation Services,LEA Consulting Ltd,151587
CAPITAL,Infrastructure and Development,Technical,Transportation Services,IBI Group Professional Service,99937
CAPITAL,Infrastructure and Development,Technical,Transportation Services,IBI Group Professional Service,218330
CAPITAL,Infrastructure and Development,Technical,Transportation Services,Morrison Hershfield,1654
CAPITAL,Infrastructure and Development,Technical,Transportation Services,Morrison Hershfield,31347
CAPITAL,Infrastructure and Development,Technical,Transportation Services,IBI Group Professional Service,22153
CAPITAL,Infrastructure and Development,Technical,Transportation Services,Wood Environment & Infrastructure,761995
CAPITAL,Infrastructure and Development,Technical,Transportation Services,LEA Consulting Ltd,33285
CAPITAL,Infrastructure and Development,Technical,Transportation Services,LEA Consulting Ltd,479632
CAPITAL,Infrastructure and Development,Technical,Transportation Services,Plant Architect Inc.,7529
CAPITAL,Infrastructure and Development,Technical,Transportation Services,Hka Global Canada Inc.,12261
CAPITAL,Infrastructure and Development,Technical,Transportation Services,Toronto Hydro Electric System,3458
CAPITAL,Infrastructure and Development,Technical,Transportation Services,CIMA Canada Inc.,90705
CAPITAL,Infrastructure and Development,Technical,Transportation Services,HDR Corporation,182963
CAPITAL,Infrastructure and Development,Technical,Transportation Services,HDR Corporation,33909
CAPITAL,Infrastructure and Development,Technical,Transportation Services,HDR Corporation,116958
CAPITAL,Infrastructure and Development,Technical,Transportation Services,IBI Group Professional Service,203780
CAPITAL,Infrastructure and Development,Technical,Transportation Services,HDR Corporation,106662
CAPITAL,Infrastructure and Development,Technical,Transportation Services,Metrolinx,318840
CAPITAL,Infrastructure and Development,Technical,Transportation Services,Exp Services Inc.,22601
CAPITAL,Infrastructure and Development,Technical,Transportation Services,Alta Planning + Design Canada,133317
CAPITAL,Infrastructure and Development,Technical,Transportation Services,Dillon Consulting,37719
